date,MOM
192701,0.005699999999999999
192702,-0.015
192703,0.0352
192704,0.0436
192705,0.0278
192706,0.0055000000000000005
192707,0.042199999999999994
192708,0.0125
192709,0.019299999999999998
192710,-0.0092
192711,-0.0022
192712,0.0311
192801,-0.0046
192802,-0.010700000000000001
192803,0.047
192804,-0.058499999999999996
192805,0.0264
192806,0.0179
192807,0.026699999999999998
192808,0.0368
192809,0.034
192810,0.051100000000000007
192811,0.0178
192812,0.0158
192901,0.024300000000000002
192902,0.031
192903,-0.0054
192904,0.0207
192905,-0.0232
192906,0.08310000000000001
192907,0.029500000000000002
192908,0.044000000000000004
192909,0.0296
192910,0.024399999999999998
192911,-0.0207
192912,0.054299999999999994
193001,-0.0546
193002,0.0115
193003,-0.042300000000000004
193004,0.041299999999999996
193005,-0.0076
193006,0.0584
193007,-0.021400000000000002
193008,0.0387
193009,0.1159
193010,0.06269999999999999
193011,-0.0132
193012,0.12480000000000001
193101,-0.111
193102,-0.1358
193103,0.09720000000000001
193104,0.11
193105,0.09230000000000001
193106,-0.17600000000000002
193107,0.084
193108,-0.031200000000000002
193109,0.0929
193110,0.0297
193111,0.0794
193112,0.1295
193201,-0.09939999999999999
193202,0.0149
193203,0.10039999999999999
193204,0.07629999999999999
193205,0.12539999999999998
193206,0.0192
193207,-0.45740000000000003
193208,-0.5261
193209,0.0246
193210,0.0462
193211,-0.0096
193212,0.0464
193301,-0.024399999999999998
193302,0.04650000000000001
193303,0.0424
193304,-0.174
193305,-0.0554
193306,0.0418
193307,-0.0034999999999999996
193308,0.0754
193309,0.0161
193310,-0.022099999999999998
193311,0.06480000000000001
193312,0.0401
193401,-0.0339
193402,0.0009
193403,-0.0067
193404,-0.0481
193405,-0.0239
193406,-0.0079
193407,0.08800000000000001
193408,0.0256
193409,-0.0006
193410,0.0688
193411,0.0377
193412,0.0453
193501,0.031
193502,0.1446
193503,0.023700000000000002
193504,-0.0475
193505,-0.0359
193506,0.026699999999999998
193507,-0.0478
193508,-0.0646
193509,0.08310000000000001
193510,0.0182
193511,-0.0704
193512,0.037000000000000005
193601,-0.0294
193602,0.0253
193603,0.0163
193604,-0.0767
193605,0.025
193606,0.005600000000000001
193607,0.024900000000000002
193608,0.006
193609,0.0141
193610,0.0068000000000000005
193611,0.0204
193612,0.0213
193701,-0.0199
193702,0.0278
193703,0.0331
193704,-0.0354
193705,0.005699999999999999
193706,0.0078000000000000005
193707,-0.0045000000000000005
193708,-0.018600000000000002
193709,-0.0681
193710,-0.0146
193711,-0.0131
193712,0.048499999999999995
193801,-0.0174
193802,-0.028399999999999998
193803,0.1578
193804,-0.09849999999999999
193805,0.0698
193806,-0.2487
193807,-0.0677
193808,0.0349
193809,0.0245
193810,-0.0753
193811,0.0332
193812,0.0233
193901,-0.0296
193902,0.0308
193903,-0.018600000000000002
193904,0.0273
193905,0.0347
193906,0.0225
193907,-0.0069
193908,0.0596
193909,-0.3145
193910,0.0655
193911,-0.0039000000000000003
193912,0.0542
194001,0.0174
194002,0.0167
194003,-0.0054
194004,0.0335
194005,0.0277
194006,-0.0246
194007,0.009300000000000001
194008,-0.018000000000000002
194009,-0.0006
194010,-0.0576
194011,0.0131
